naics_2007_us_code,wage_offer_from_9089,wage_offer_unit_of_pay_9089,country_of_citzenship,employer_state,pw_level_9089,case_status,class_of_admission
541512.0,75629.0,2.0,4,36,1,2,24
562211.0,37024.0,2.0,103,36,0,0,3
541330.0,47923.0,2.0,57,48,0,2,16
813110.0,10.97,1.0,116,36,1,2,3
333291.0,100000.0,2.0,24,36,3,2,26
562910.0,37024.0,2.0,35,36,0,0,9
611110.0,47084.0,2.0,85,36,1,2,16
331312.0,36733.0,2.0,24,9,0,0,7
541511.0,44824.0,2.0,24,8,0,2,16
452990.0,12.86,1.0,97,36,0,0,7
541511.0,60000.0,2.0,57,21,1,3,16
711410.0,50000.0,2.0,112,36,1,2,16
541512.0,34.3,1.0,106,33,1,2,16
541511.0,80000.0,2.0,57,10,3,2,16
238320.0,15.64,1.0,35,36,1,2,9
541511.0,28.05,1.0,57,33,0,2,16
722110.0,10.37,1.0,85,33,1,0,9
541.0,141731.0,2.0,142,46,3,2,16
561510.0,89336.0,2.0,66,36,2,2,6
721110.0,21.58,1.0,115,9,1,0,3
722110.0,18.31,1.0,85,33,0,0,9
325412.0,66000.0,2.0,106,15,2,3,16
722110.0,12.9,1.0,85,36,2,0,9
54161.0,130000.0,2.0,57,36,0,2,16
23.0,15.8,1.0,35,36,0,0,9
445230.0,12.23,1.0,85,36,0,0,9
61111.0,37476.0,2.0,102,27,0,2,16
334413.0,88130.0,2.0,133,20,2,2,16
722211.0,9.5,1.0,35,36,0,0,9
238310.0,10.16,1.0,37,48,0,3,9
51721.0,110000.0,2.0,57,46,0,2,16
238350.0,19.3,1.0,35,36,1,2,9
561730.0,13.19,1.0,85,33,2,0,9
334111.0,75000.0,2.0,102,4,0,2,16
23.0,11.75,1.0,35,36,0,0,9
622110.0,20.34,1.0,102,29,0,0,16
541710.0,93662.0,2.0,57,29,3,2,16
611110.0,59034.0,2.0,23,25,0,0,16
238160.0,24.4,1.0,85,33,0,0,9
722110.0,13.42,1.0,37,36,2,0,40
541690.0,119954.0,2.0,57,29,3,2,16
722110.0,24107.0,2.0,116,10,3,0,10
236220.0,21.01,1.0,35,36,1,0,9
334111.0,105000.0,2.0,116,4,0,2,16
334510.0,67925.0,2.0,66,52,1,2,26
561310.0,27.0,1.0,102,36,3,0,16
334111.0,96512.0,2.0,57,4,3,2,26
334510.0,47000.0,2.0,85,52,0,2,16
541512.0,41516.0,2.0,57,46,0,2,16
7221.0,10.7,1.0,37,48,3,2,2
334510.0,108200.0,2.0,24,33,3,0,16
541511.0,47.69,1.0,57,33,3,2,16
62111.0,140000.0,2.0,57,21,1,2,16
541511.0,73424.0,2.0,58,46,3,2,16
722211.0,10.5,1.0,85,36,2,0,9
54133.0,90000.0,2.0,123,40,1,2,26
541511.0,81078.0,2.0,123,36,1,0,16
814110.0,12.4,1.0,27,36,1,0,2
522110.0,103000.0,2.0,57,36,1,0,16
722211.0,10.5,1.0,85,3,0,2,9
315.0,101254.0,2.0,57,4,2,2,16
334111.0,60120.0,2.0,57,4,0,0,16
33411.0,30.88,1.0,26,52,2,2,10
5415.0,125580.0,2.0,24,51,2,0,26
452990.0,44845.0,2.0,57,48,3,0,2
517.0,140878.0,2.0,85,46,1,2,16
541512.0,34.92,1.0,57,5,2,2,16
722110.0,50500.0,2.0,133,9,1,0,4
722110.0,14.5,1.0,85,24,1,0,9
921110.0,68744.0,2.0,57,37,1,0,16
334413.0,42.42,1.0,26,4,2,2,16
722110.0,11.82,1.0,49,33,2,0,9
621111.0,60.29,1.0,106,36,3,0,10
531110.0,16.0,1.0,87,35,2,0,2
523110.0,160000.0,2.0,57,36,3,2,16
522110.0,80101.0,2.0,57,36,1,3,16
238220.0,14.33,1.0,37,21,0,2,9
23.0,11.0,1.0,116,21,0,0,28
447110.0,26700.0,2.0,10,46,0,0,9
611110.0,38000.0,2.0,85,46,0,2,16
611110.0,38000.0,2.0,117,46,0,2,16
541511.0,60000.0,2.0,88,10,0,3,16
541511.0,46.0,1.0,102,4,1,0,16
562991.0,19.0,1.0,18,6,0,0,9
811219.0,74800.0,2.0,85,10,1,2,16
541511.0,96117.0,2.0,57,46,2,0,16
541330.0,59987.0,2.0,57,15,1,0,16
325412.0,58781.0,2.0,24,21,1,0,39
541810.0,27.0,1.0,116,4,0,0,10
722110.0,23.66,1.0,102,4,3,0,3
541511.0,88000.0,2.0,139,33,1,3,16
623110.0,36764.0,2.0,93,36,0,2,16
51721.0,85488.0,2.0,57,46,1,2,16
722110.0,16.04,1.0,16,21,1,2,3
541511.0,108000.0,2.0,57,46,3,2,16
51721.0,94572.0,2.0,102,46,3,2,16
51121.0,124446.0,2.0,6,51,3,3,16
5415.0,99425.0,2.0,57,51,1,0,16
541519.0,74048.0,2.0,57,29,1,0,16
621210.0,40.0,1.0,62,36,1,2,22
23.0,13.53,1.0,103,6,1,0,28
327122.0,85000.0,2.0,63,46,1,0,7
454111.0,121400.0,2.0,24,4,2,0,16
23.0,19.59,1.0,103,6,3,0,10
814110.0,9.4,1.0,102,4,0,0,2
624190.0,24939.0,2.0,57,40,0,2,24
236118.0,21.0,1.0,18,36,1,0,3
621310.0,95000.0,2.0,24,1,0,0,16
541511.0,114566.0,2.0,57,21,3,2,16
51721.0,107640.0,2.0,57,46,3,2,16
6214.0,23.32,1.0,116,20,0,0,16
